textsentence_id,text_id,sentence_id,word_count,sentiment,sentence,language,word,translated_word,freq
Blast01_0,Blast01,0,44,-0.2,I had been looking to get into the speak-your-command speaker game for a while but was unsure of what I would like to go with but ultimately when the opportunity came to get the UE Blast with Alexa I jumped at the chance.,English,command,command,1.0
Blast01_0,Blast01,0,44,-0.2,I had been looking to get into the speak-your-command speaker game for a while but was unsure of what I would like to go with but ultimately when the opportunity came to get the UE Blast with Alexa I jumped at the chance.,English,speaker,speaker,1.0
Blast01_0,Blast01,0,44,-0.2,I had been looking to get into the speak-your-command speaker game for a while but was unsure of what I would like to go with but ultimately when the opportunity came to get the UE Blast with Alexa I jumped at the chance.,English,game,game,1.0
Blast01_0,Blast01,0,44,-0.2,I had been looking to get into the speak-your-command speaker game for a while but was unsure of what I would like to go with but ultimately when the opportunity came to get the UE Blast with Alexa I jumped at the chance.,English,unsure,unsure,1.0
Blast01_0,Blast01,0,44,-0.2,I had been looking to get into the speak-your-command speaker game for a while but was unsure of what I would like to go with but ultimately when the opportunity came to get the UE Blast with Alexa I jumped at the chance.,English,opportunity,opportunity,1.0
Blast01_0,Blast01,0,44,-0.2,I had been looking to get into the speak-your-command speaker game for a while but was unsure of what I would like to go with but ultimately when the opportunity came to get the UE Blast with Alexa I jumped at the chance.,English,blast,blast,1.0
Blast01_0,Blast01,0,44,-0.2,I had been looking to get into the speak-your-command speaker game for a while but was unsure of what I would like to go with but ultimately when the opportunity came to get the UE Blast with Alexa I jumped at the chance.,English,alexa,alexa,1.0
Blast01_0,Blast01,0,44,-0.2,I had been looking to get into the speak-your-command speaker game for a while but was unsure of what I would like to go with but ultimately when the opportunity came to get the UE Blast with Alexa I jumped at the chance.,English,chance,chance,1.0
Blast01_1,Blast01,1,35,0.125,While I had some experience with issuing commands to my Xbox I knew the experience of using Alexa was much better since I had set them up as gifts for relatives in the past.,English,experience,experience,1.0
Blast01_1,Blast01,1,35,0.125,While I had some experience with issuing commands to my Xbox I knew the experience of using Alexa was much better since I had set them up as gifts for relatives in the past.,English,commands,commands,1.0
Blast01_1,Blast01,1,35,0.125,While I had some experience with issuing commands to my Xbox I knew the experience of using Alexa was much better since I had set them up as gifts for relatives in the past.,English,xbox,xbox,1.0
Blast01_1,Blast01,1,35,0.125,While I had some experience with issuing commands to my Xbox I knew the experience of using Alexa was much better since I had set them up as gifts for relatives in the past.,English,experience,experience,1.0
Blast01_1,Blast01,1,35,0.125,While I had some experience with issuing commands to my Xbox I knew the experience of using Alexa was much better since I had set them up as gifts for relatives in the past.,English,alexa,alexa,1.0
Blast01_1,Blast01,1,35,0.125,While I had some experience with issuing commands to my Xbox I knew the experience of using Alexa was much better since I had set them up as gifts for relatives in the past.,English,gifts,gifts,1.0
Blast01_1,Blast01,1,35,0.125,While I had some experience with issuing commands to my Xbox I knew the experience of using Alexa was much better since I had set them up as gifts for relatives in the past.,English,relatives,relatives,1.0
Blast01_1,Blast01,1,35,0.125,While I had some experience with issuing commands to my Xbox I knew the experience of using Alexa was much better since I had set them up as gifts for relatives in the past.,English,past,past,1.0
Blast01_2,Blast01,2,16,0.0,When I received the UE Blast it was nearly fully charged and had minimal packaging.,English,blast,blast,1.0
Blast01_2,Blast01,2,16,0.0,When I received the UE Blast it was nearly fully charged and had minimal packaging.,English,packaging,packaging,1.0
Blast01_3,Blast01,3,24,0.294444444444,It was ready to go out of the box but I did have to download and configure the app which was pretty easy.,English,box,box,1.0
Blast01_3,Blast01,3,24,0.294444444444,It was ready to go out of the box but I did have to download and configure the app which was pretty easy.,English,app,app,1.0
Blast01_4,Blast01,4,23,0.2,After linking it to my account on Amazon and establishing a bluetooth and wifi connection I was ready to test it out.,English,account,account,1.0
Blast01_4,Blast01,4,23,0.2,After linking it to my account on Amazon and establishing a bluetooth and wifi connection I was ready to test it out.,English,amazon,amazon,1.0
Blast01_4,Blast01,4,23,0.2,After linking it to my account on Amazon and establishing a bluetooth and wifi connection I was ready to test it out.,English,bluetooth,bluetooth,1.0
Blast01_4,Blast01,4,23,0.2,After linking it to my account on Amazon and establishing a bluetooth and wifi connection I was ready to test it out.,English,connection,connection,1.0
Blast01_5,Blast01,5,32,0.0,"The speaker itself is quite similar in design to another speaker that my wife and I had been using for a couple of years now, that is the UE Boom.",English,speaker,speaker,1.0
Blast01_5,Blast01,5,32,0.0,"The speaker itself is quite similar in design to another speaker that my wife and I had been using for a couple of years now, that is the UE Boom.",English,design,design,1.0
Blast01_5,Blast01,5,32,0.0,"The speaker itself is quite similar in design to another speaker that my wife and I had been using for a couple of years now, that is the UE Boom.",English,speaker,speaker,1.0
Blast01_5,Blast01,5,32,0.0,"The speaker itself is quite similar in design to another speaker that my wife and I had been using for a couple of years now, that is the UE Boom.",English,wife,wife,1.0
Blast01_5,Blast01,5,32,0.0,"The speaker itself is quite similar in design to another speaker that my wife and I had been using for a couple of years now, that is the UE Boom.",English,couple,couple,1.0
Blast01_5,Blast01,5,32,0.0,"The speaker itself is quite similar in design to another speaker that my wife and I had been using for a couple of years now, that is the UE Boom.",English,years,years,1.0
Blast01_5,Blast01,5,32,0.0,"The speaker itself is quite similar in design to another speaker that my wife and I had been using for a couple of years now, that is the UE Boom.",English,boom,boom,1.0
Blast01_6,Blast01,6,8,0.3,It's bigger and has better sound.,English,sound,sound,1.0
Blast01_7,Blast01,7,42,0.361767676768,"I knew that our experience with the UE Boom had been a positive one, the speaker held a charge a long time, was easy to pair and had excellent sound so I held high hopes for the UE Blast.",English,experience,experience,1.0
Blast01_7,Blast01,7,42,0.361767676768,"I knew that our experience with the UE Boom had been a positive one, the speaker held a charge a long time, was easy to pair and had excellent sound so I held high hopes for the UE Blast.",English,boom,boom,1.0
Blast01_7,Blast01,7,42,0.361767676768,"I knew that our experience with the UE Boom had been a positive one, the speaker held a charge a long time, was easy to pair and had excellent sound so I held high hopes for the UE Blast.",English,speaker,speaker,1.0
Blast01_7,Blast01,7,42,0.361767676768,"I knew that our experience with the UE Boom had been a positive one, the speaker held a charge a long time, was easy to pair and had excellent sound so I held high hopes for the UE Blast.",English,charge,charge,1.0
Blast01_7,Blast01,7,42,0.361767676768,"I knew that our experience with the UE Boom had been a positive one, the speaker held a charge a long time, was easy to pair and had excellent sound so I held high hopes for the UE Blast.",English,time,time,1.0
Blast01_7,Blast01,7,42,0.361767676768,"I knew that our experience with the UE Boom had been a positive one, the speaker held a charge a long time, was easy to pair and had excellent sound so I held high hopes for the UE Blast.",English,hopes,hopes,1.0
Blast01_7,Blast01,7,42,0.361767676768,"I knew that our experience with the UE Boom had been a positive one, the speaker held a charge a long time, was easy to pair and had excellent sound so I held high hopes for the UE Blast.",English,blast,blast,1.0
Blast01_8,Blast01,8,17,0.563333333333,Once everything was configured the UE Blast was very easy to use by issuing Alexa commands.,English,everything,everything,1.0
Blast01_8,Blast01,8,17,0.563333333333,Once everything was configured the UE Blast was very easy to use by issuing Alexa commands.,English,blast,blast,1.0
